a280.tsp,divisao_e_conquista,0.000232,10812.41
a280.tsp,guloso,0.000172,3148.11
a280.tsp,divisao_e_conquista,0.000315,10812.41
a280.tsp,guloso,0.000225,3148.11
berlin52.tsp,divisao_e_conquista,0.000029,15643.73
berlin52.tsp,guloso,0.000011,8980.92
bier127.tsp,divisao_e_conquista,0.000070,407547.10
bier127.tsp,guloso,0.000047,135751.78
ch130.tsp,divisao_e_conquista,0.000072,32301.72
ch130.tsp,guloso,0.000050,7575.29
ch150.tsp,divisao_e_conquista,0.000077,36960.71
ch150.tsp,guloso,0.000042,8194.61
d198.tsp,divisao_e_conquista,0.000201,34650.57
d198.tsp,guloso,0.000109,18620.07
eil51.tsp,divisao_e_conquista,0.000021,1283.22
eil51.tsp,guloso,0.000010,513.61
eil76.tsp,divisao_e_conquista,0.000015,1857.91
eil76.tsp,guloso,0.000008,711.99
kroC100.tsp,divisao_e_conquista,0.000046,72617.38
kroC100.tsp,guloso,0.000028,26327.36
kroD100.tsp,divisao_e_conquista,0.000073,71423.68
kroD100.tsp,guloso,0.000038,26950.46
kroE100.tsp,divisao_e_conquista,0.000024,77690.14
kroE100.tsp,guloso,0.000015,27587.19
lin105.tsp,divisao_e_conquista,0.000072,44037.15
lin105.tsp,guloso,0.000030,20362.76
lin318.tsp,divisao_e_conquista,0.000452,466505.23
lin318.tsp,guloso,0.000189,54033.58
linhp318.tsp,divisao_e_conquista,0.000348,466505.23
linhp318.tsp,guloso,0.000201,54033.58
pr76.tsp,divisao_e_conquista,0.000039,353178.94
pr76.tsp,guloso,0.000015,153461.92
pr107.tsp,divisao_e_conquista,0.000048,161940.47
pr107.tsp,guloso,0.000025,46678.15
pr124.tsp,divisao_e_conquista,0.000088,276495.25
pr124.tsp,guloso,0.000038,69299.43
rd100.tsp,divisao_e_conquista,0.000025,38113.35
rd100.tsp,guloso,0.000014,9941.16
st70.tsp,divisao_e_conquista,0.000014,2994.20
st70.tsp,guloso,0.000008,805.53
u159.tsp,divisao_e_conquista,0.000135,169955.26
u159.tsp,guloso,0.000055,54669.03
